tempo,direita,esquerda
1,34.311,34.47
2,34.278,34.418
3,34.288,34.386
4,34.292,34.404
5,34.278,34.475
6,34.199,34.531
7,34.185,34.531
8,34.227,34.568
9,34.297,34.554
10,34.288,34.544
11,34.33,34.549
12,34.325,34.446
13,34.292,34.47
14,34.297,34.512
15,34.278,34.489
16,34.306,34.446
17,34.311,34.451
18,34.316,34.423
19,34.292,34.456
20,34.269,34.489
21,34.306,34.451
22,34.25,34.432
23,34.25,34.535
24,34.297,34.503
25,34.297,34.591
26,34.297,34.512
27,34.283,34.526
28,34.306,34.479
29,34.241,34.54
30,34.222,34.484
31,34.255,34.586
32,34.292,34.498
33,34.232,34.544
34,34.264,34.507
35,34.213,34.461
36,34.227,34.475
37,34.236,34.507
38,34.288,34.503
39,34.311,34.526
40,34.278,34.526
41,34.264,34.507
42,34.227,34.54
43,34.236,34.554
44,34.25,34.605
45,34.292,34.54
46,34.26,34.544
47,34.246,34.572
48,34.288,34.526
49,34.241,34.535
50,34.288,34.395
51,34.292,34.549
52,34.306,34.517
53,34.297,34.507
54,34.213,34.526
55,34.213,34.493
56,34.236,34.446
57,34.203,34.47
58,34.185,34.47
59,34.175,34.493
60,34.246,34.47
61,34.325,34.493
62,34.26,34.465
63,34.288,34.446
64,34.227,34.334
65,34.147,34.423
66,34.246,34.437
67,34.217,34.367
68,34.222,34.512
69,34.208,34.423
70,34.199,34.409
71,34.189,34.423
72,34.217,34.451
73,34.222,34.451
74,34.25,34.446
75,34.213,34.418
76,34.288,34.409
77,34.25,34.479
78,34.222,34.437
79,34.278,34.4
80,34.26,34.484
81,34.208,34.54
82,34.227,34.451
83,34.25,34.372
84,34.227,34.446
85,34.236,34.456
86,34.189,34.358
87,34.241,34.404
88,34.255,34.432
89,34.255,34.409
90,34.232,34.4
91,34.241,34.451
92,34.232,34.47
93,34.222,34.442
94,34.288,34.479
95,34.288,34.437
96,34.274,34.414
97,34.292,34.446
98,34.274,34.442
99,34.25,34.493
100,34.255,34.489
101,34.236,34.409
102,34.302,34.446
103,34.189,34.47
104,34.232,34.461
105,34.25,34.47
106,34.344,34.442
107,34.372,34.446
108,34.362,34.577
109,34.348,34.577
110,34.311,34.517
111,34.311,34.446
112,34.325,34.451
113,34.367,34.456
114,34.32,34.489
115,34.241,34.503
116,34.227,34.414
117,34.208,34.418
118,34.241,34.446
119,34.311,34.423
120,34.26,34.423
121,34.316,34.395
122,34.288,34.446
123,34.292,34.442
124,34.274,34.479
125,34.316,34.456
126,34.316,34.414
127,34.26,34.442
128,34.274,34.465
129,34.236,34.517
130,34.217,34.353
131,34.334,34.512
132,34.264,34.376
133,34.26,34.451
134,34.269,34.451
135,34.264,34.484
136,34.297,34.498
137,34.306,34.409
138,34.26,34.376
139,34.316,34.386
140,34.278,34.461
141,34.217,34.381
142,34.189,34.376
143,34.217,34.521
144,34.316,34.521
145,34.302,34.451
146,34.189,34.409
147,34.189,34.493
148,34.236,34.526
149,34.203,34.456
150,34.194,34.414
151,34.274,34.432
152,34.269,34.353
153,34.203,34.344
154,34.213,34.376
155,34.246,34.437
156,34.292,34.367
157,34.292,34.418
158,34.274,34.47
159,34.288,34.461
160,34.288,34.498
161,34.269,34.39
162,34.264,34.39
163,34.297,34.414
164,34.222,34.451
165,34.203,34.432
166,34.217,34.404
167,34.264,34.489
168,34.241,34.479
169,34.185,34.404
170,34.18,34.4
171,34.11,34.344
172,34.213,34.344
173,34.213,34.418
174,34.18,34.404
175,34.171,34.4
176,34.213,34.428
177,34.25,34.311
178,34.241,34.376
179,34.255,34.423
180,34.213,34.418
181,34.25,34.386
182,34.227,34.344
183,34.213,34.423
184,34.232,34.418
185,34.222,34.451
186,34.213,34.409
187,34.213,34.409
188,34.217,34.442
189,34.194,34.446
190,34.152,34.465
191,34.147,34.39
192,34.18,34.353
193,34.199,34.395
194,34.26,34.4
195,34.213,34.381
196,34.232,34.428
197,34.199,34.414
198,34.161,34.386
199,34.217,34.47
200,34.232,34.475
201,34.227,34.475
